Company,Job Title,Location,Actively Recruiting Indicator,LI Job Post URL
BOLD,Web Designing,"Noida, Uttar Pradesh, India (Hybrid)",Actively recruiting,https://www.linkedin.com/jobs/view/3829976282/?eBP=CwEAAAGN_rUottbXWQMjjYFO8s36xp-wJhjfjjNuNFKfuEc1_fzv08fnNvxivQWt0BDkg0gdMRyc7j0whLACI7EYu_wlVQn16XxKO3oMgp7VLSQgRD91HiHqoQS2XxneYxkqyD-QB_aBhuAl49-Ut_A_PZRa6ctBnXaeib3GNt-4sWik5h6sazYgadl3GRLdCoXbyE__mJo6n29_s965mt0g_Jr7pyMG2KgHvc4cLdLFrSsj0ivAw-04mx_ggOLOFE4CA-KST_Aom_b83OXsJEJQPx8wNc-NjS-gfSHcFMd_ZoCRH-G0R9YzEOWnuCtjG9R5XmplAfGLSU6QaNjrEThFGgucSSYTSQ974H35-4ql4kEWWG9f_NEw3w86lFokbS2icbxXco07K-pzLLX3ixMocFOIWHvqPY8&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=WwuOgZgKmOZsKXLaP6lR9w%3D%3D&trk=flagship3_search_srp_jobs
Equifax,Web Designing,"Pune, Maharashtra, India",Actively recruiting,https://www.linkedin.com/jobs/view/3836074065/?eBP=CwEAAAGN_rUotki6lARmvg6v4T9qiiTSxuFJQRKSO9XdoHMcAmwdhPoD8GglO8WkjJxPRp0zF9EGKruydBQQHnNmSZOishe5G2vhF-uthiEORnErVg43NkLN78AGIlF61MVqKNYU-4UwEbnTPA2dI3Zk-V734JKdzNn_8h0FaRIHfFNwaV0sU0KHXkeyh9nTk9UwlH80Yo4l4V_VI0pLdnlqqwBbUYbnregdSZnI51OuBp52XhtqnAQuucAqQJm2GvnSkq4FI6UtLD_fL92B15UOgLB-eLHMYzYuTqsL7EFGjwlwLi1Lcxps1LyUTUz6iznIndRXV_scRmRrz58rkavnESwY7uEVkJo3Vh46dWixyWS3lMgNFYMdb_sPY_Eoa9-VNta8RQAPYoGB7ygH59vZPlgoMFX1LLI&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=jWiQWtx0HnKWoclMVpxwAQ%3D%3D&trk=flagship3_search_srp_jobs
A.P. Web Solutions,Web Designing,India (Remote),Actively recruiting,https://www.linkedin.com/jobs/view/3812099824/?eBP=CwEAAAGN_rUottpRzjDRKj3_o7UAXEJ9NlSz0odg_jA2V8uc9f6P5TZQzDx75pfVFvQDz3xsuUz61LALwhxLrgxJJAOf7T_1d_My1dlzbtgzpu7Eex25XG-yTkTTZcegoSE2eKTqbQeoIXaLsQZUKPTAEFdFHz2F10DC8uCiAr_mjuxkbzV6AcliyZkAyuz3_iWqq1XyldEkdgeUBtiPAwo1xF0GSmVHHA-B0-k36HARhu7d4sbL-wtnvv75tlB58WRP1vY5RqcTWSSE3Isug5BOFky73FBUhTeFGDn11DPw37L009ffQOVg61kEClYV8OAUcDBlBcQvkZkzGGQU88TbXF6fOWxJODVisJXPeBOyPS9gZQS_yYVqhe5TCmR50BWIs25gL9lxY9VZttglYQ&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=s8HgdyiCqYrXhBJ0D4GFJg%3D%3D&trk=flagship3_search_srp_jobs
Google,Web Designing,"Gurgaon, Haryana, India (On-site)",2 connections work here,https://www.linkedin.com/jobs/view/3823566279/?eBP=CwEAAAGN_rUotnr3GRIvXOqQTM2AfEUuF_MDtt0OOw2vuXRUB2GG7j9NW2pvznKaP1h6OlCtWYaPZjk2tn_IDhtXCYP4KPiiScAVJwqMTHpf63jSiSIcUYFPmGLjBJQIahx6GojGlaiKE-kbUvCJaefUqbdorE_RClKMm2dVTFQRW7ntfCZVxMC0JvqtGChWrBNU2AbDc_uvecQR6asxUeIGaFgl0iHA5-svMO-khj1nXwwtRWQG2v3pcVe4mIH8D245l2ktV2_IVlYFBth6XgS2OMSBdAY5EihLgvnHz3iAPOpSpPPWGgcvfGrAvWuHFzagotEBSgIRqSSgluRPD-dtVBuSTZRnbzBvxoGpMxGilhLfA4vUPgCqFN5UMq8vtjQ2NGa3GikDD-sU8M2R3A1nYXvy5weXzYY&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=FuMIUKsCAT792nt8ueFBGA%3D%3D&trk=flagship3_search_srp_jobs
GE Vernova,Web Designing,"Hyderabad, Telangana, India",Actively recruiting,https://www.linkedin.com/jobs/view/3826641070/?eBP=CwEAAAGN_rUotvJNOABKRjQXuBasfIfh-2FS3PBY0OtRTU_tIJ-81txC20QjSrn84Lf5wbSxsdSv9Jb7UqHpAdO18gNd_TJ0whfDcE0raLA7vvQLWY-8P7MQm5zPuYQKLFpQQHlAiN6qjT_mlon9pFnE2xJ-rL0ZvPTkAOPeqHI37xVIH4iVjKCJrpeJsUg-kOG3U36uUyPfFUpQGMjODJryd1B-NVHjrlizp-16fxMXD-yMZZ4KlALKR0JWYMYShcWYyrzrvJZT05rJJhbjsVn0lOfhTTB3g6iaJ4ShL1CThqiQO62lXJ6VCgvEYUvy6qMQaVrIGSSBcBMnQn76UyfToPXzFUMsmWiGxk8-q9S2m7vKdJCbkkD7VTW0pX0y1UZsNDEYG4IP8oU71aMRzi7xWr20uAXPoXWxxQ&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=ICxdJ3qJAH7USX1toPT6Mg%3D%3D&trk=flagship3_search_srp_jobs
Logitech,Web Designing,"Chennai, Tamil Nadu, India (On-site)",,https://www.linkedin.com/jobs/view/3804238759/?eBP=CwEAAAGN_rUotgL1zaem4agHzPJhYoAo70UFBLMNh18DqtXZaD28sTVOQ_52CUdjquo2e3GiKrFxfG1EQyWiPgklOgHD44eQwtXryRuA5UzZMFFOk1UlMZWKEI6BHlhg29hoFqOJrI3UYWBx-MqDrT0nR2VtAKXbIpf1rd9y4VK1lhGDer724tXUsFx26AoX7jU84Pfbj-DLOqC0B-fWf0YGmwcRWqlYAwNYaTBrmPebBlwAVftKJTEgg0LcWjZO-0PjcqTQbUK2_Yk9rzvu_1GWX2pKUxCAyKY0HYpWeLzW4a6oIFd31VAaN_2QakQCd6vsYe1mDXZz4xrIax3bH4fBcCNIoGdviYPbvl2_1CxmfSdpLfXfj30QgrZyyGp382UkJPtfiahBaaVJ_rdaqTM7-7ClisQFI0BWrQ&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=Bx8zHCw01Ovy5eLKDfDBkQ%3D%3D&trk=flagship3_search_srp_jobs
Uplers,Web Designing,"Nagpur, Maharashtra, India (Remote)",1 school alum works here,https://www.linkedin.com/jobs/view/3826352711/?eBP=CwEAAAGN_rUotq1uWcHsojn6cfEd2r_lUopIg4BIGkr5Kh02DUoqMyZmDXhj-GSd6_dOfC5E7a6N3HHafUFstFKl4xXCwKkCTkGNPioJJxpRXZ-796Kkud5-jfvw5W8e1mks_ZmGUs82rnfnIaT282d-I_iS-dEh7PtI3gal3CuiYKjMoqOQv4KNknNTpjZIsU529TSrQlN6kQJ1GqgUNillSz3_bkTEo33CFFCxxjAAxELiynfu-6M5KOhYxbqInXYet9fOOjad89m-URh-e8YheDemIBxOGLPwwgwlJRXbeAXnFBKU4wiRBb1eGVAQluBjyJIRVH6SSop6kYyMuUex-QxZCylYlAdXB4ARgv4BY5iRM2ADFEmO8TNQThfZACBbbLKrCo70lPdG4Pwy-lcMx38tCWoIeVI&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=Lrq810Wu6S3OFxrAujssqw%3D%3D&trk=flagship3_search_srp_jobs
Landis+Gyr,Web Designing,"Noida, Uttar Pradesh, India (Hybrid)",Actively recruiting,https://www.linkedin.com/jobs/view/3832402521/?eBP=CwEAAAGN_rUotjDQx3L3mc8cYzgZ3J1-JnghE9I4awKMF24cEAMu1hf3xUaO9xIzZQF0_NZXJIWLJy_v8UiSnTt9C_hZKJvcd9awanFU-vk6JfIHKidODAQVdmXOFa1-rmbGsNVBp7F5aUlDtdNtvmT-SYK9fGVYrqJ6i5klJaCXzRHjrCdBYqUKjP5Q3Qvi255GBnu7m8kJ7yw3_lG5gMdZkvFfDlCP0mLPo2WNY5y_SLdWg3L44awPEaPBj2Gm4sj8oHeUhscpkZJv7FJy0a6WhDgs41p-pL0z9ytLALiTsloKQvGj4SdevLEalwMBnSM26iM5DyghhFQys341c5-5Bcy651VJBeW0p1xgfToZTqjLcsVzljN-BGLpfGIjWOgEnkgqM9cAfP2EYfqC2m1WC6DEg5opVuam1g&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=wvMBOrb%2FIrvuonWzrTLSTw%3D%3D&trk=flagship3_search_srp_jobs
Uplers,Web Designing,"Kolkata, West Bengal, India (Remote)",1 school alum works here,https://www.linkedin.com/jobs/view/3836987702/?eBP=CwEAAAGN_rUotsD1DfswAqnl0ZIyBSdpWbezq0q9Q1Ezsz_J8B9ubwaEYK7zK7aD9-yC3-Acu8kAymQwzehgQ5YwZV7aMATFsqwjg19BbuYSF2ziO5BvnNCTB8qcCmU95WG3SMOwSngqsxGScmDI7LpKAJahOXNsbiwYRtju1sJe52GSZrnBCjQlR_sR_EZGy8WbimtIlyj94slHYi3RNIWw0Oay1lWkh_fX4F_mV42oM3mQ3udjCgjsBcuEdcEflbgpHtihnliOHfWbDb6cnOs5KUdDJUwcNByxC5tqWU6kt9u1KGxMe-rT6ZdIWSQfZ9P1KaCy7dqUUOknV11Ok-m-HKThNOQp3w47OAtBtICUeqGyd3x1IGZ7cfnUbd8IUT0IWyLej1SVj9vn5kSSwMSv9Y74XOtauHt-0Q&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=2CsABJNKLZ2ckXwfJ8ZGdQ%3D%3D&trk=flagship3_search_srp_jobs
GUILLERMONTO WATCH COMPANY,Web Designing,India (Remote),,https://www.linkedin.com/jobs/view/3833875481/?eBP=CwEAAAGN_rUottEK-OzM7LR2hZj7vt_zcoz5k8Db6tWDZqmm29nqYUwMpRhANHfJOOhNS7aqpM7-puuzmjbYW1VpIsRDIkL-D4QSmV0yUnlDcP9d0q5iRiPLi2Fc8yaUlA8wVY7nu4pjmM6RqfNMCyne3mUZUSr-iZvoWuvpZo6ioaX86cKX7NZNHM0l1JhTpausGc88iopEddKravbwXeyaUrV2_y8KmapuEsfeDcwevzrevpdtilH0Y6mWx199Au6yqZwNcy2UD-KoYImde191rvTCa6tbyvo2_yZ62n0TAPeKt7uqVE5Usy_S3zttnddqry1XzVD5vMjKdgpzBYhtQSotrY_-oyO-yOF3w3rxmvCUofFNwWO8kJZeOadqSccA8Z2P-4rJKdtFnGV_MQ&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=YWZRTP6NO2ALFQmCmgS7rg%3D%3D&trk=flagship3_search_srp_jobs
Bristol Myers Squibb,Web DesigningWeb Designing,"Hyderabad, Telangana, India (Hybrid)",Actively recruiting,https://www.linkedin.com/jobs/view/3834011921/?eBP=CwEAAAGN_rUotkllsng76aeY6YDvduuTPpr8a0aKJ1czp_glc0bXbx4Kf77l0tOK48iAEyCFYMw8M0nuaC91eP0VJVmiBLOf422lpKsMYcbaRzPbAq3KvmPtdO2kWmKfeaPudkLvVz3tVaJ6CYH0SPgKTcPXsbGPwxD7Cbg0PuXre9vQsxTi81Ex0BzIizBEzM_psmWqEGSVWNTKpoiEn_PR8OAAKECrrZnQZU6M3GCN01uoOmkHqjN0eGvFfOs9PxG8Jpj-i50V0iSTm6EHyKC2OWCPuNGlNPUp04KNBzDVe_qL1ssIHYPnPktlg0-a_NSn9B2ATiRS6qmQeFVby_gwQ3o5Nn2hvj7zY-IABwTpFjJLG4zSzK3FqEmrHmVhqRDf2lpmpiPIwXg3mE1iP0SOZdx85yequok&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=dv5AKzjJs2DGeLtRPqGiVA%3D%3D&trk=flagship3_search_srp_jobs
Versatiletech,Web Designing,India (Remote),Actively recruiting,https://www.linkedin.com/jobs/view/3834839297/?eBP=CwEAAAGN_rUotl7z4BuhiDD5pNd8_KNQWDBQqm2t5AKBHc7sSPVwC6hqgEg8xcIKxtmit8KUEe5iho1pQbjC6Qaki4Bkwj0yXQ0xV7zn6tdeQT-m8hU5hlcP0dAJlB8hmOFzFt9vkmF1i-eXhvjwJOwNg--PNrfA2CzpFVIbrUqm_lK0dFIcxQ-_FGaoEi5335lfdAQlo1G5cLaoMUP2yrQjGKVk4jRndrDVYBpBMnAB2DZSB-kEOWZG7A8SISs0r2eJOP3en1SWr2QPoYTs66HVQjsgeBjpXC1dJvuf30I_KKKcU0s2EGQNp08Rz9E395gEvzLpE3M__hdDbvZnC4Wp42D1ZwBs26cpaln7euiCaeZ4TfkWHDTPXNs-wPXU0__K32TZWVJcrtWmiKDlqQ&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=q67%2BBkt7o8%2BJSjaSFasZpQ%3D%3D&trk=flagship3_search_srp_jobs
Theta Academy,Data Science ,"Chandigarh, Chandigarh, India (On-site)",,https://www.linkedin.com/jobs/view/3829136946/?eBP=CwEAAAGN_rXWlZNJpiK23uNYuG7GH-APe0hat-oGaHtjMKx0A9snm1NrBvwhs8AyO_pwybWUuC1SaA2DY7LjG7ZEDOht1zk2jGjQN54LeNb4sHRV_OIy4wa38BqrY2i2NwL7hp_m8ne7qBx8GNxZroWJQbwV9Q-G8WXCeKvt8C0qX6F4t2yR0Soaoc88tzEILBSEQUN4yirzgDda-veZC7ugkTL49nlJRFsOVDPRC1qO7K3W13DWZWHhHfV6bZ5-_gt_EylS6JcbmfWMRYFDN-TxIeCBje2bZBM43IzfVJboLuI5WmfEk3xs-Hdwgj0PR2w8S41EGqsXLY3zS6g2HkPBFLcZuuUsgnqUc-ETTw-i0TOtKVsTlCxN03S4fHgXxQAhSO9D8ywP3lLKWN8FUEuuD6jcdGQB5JZoYNadM84fZ3DXDSub01myRXoGlg&refId=W6kRXiF%2BsEvWx5GizugnwA%3D%3D&trackingId=QefY3wW%2BhimsjorEYcOgzw%3D%3D&trk=flagship3_search_srp_jobs
Applied Materials,Data Science ,"Bengaluru, Karnataka, India (On-site)",1 school alum works here,https://www.linkedin.com/jobs/view/3824760461/?eBP=CwEAAAGN_rXWlUgidW94TIlILc4uIVjjVbJ3nlEHdv-30T5J2fW7d2Dw5w33ThBA2vuqvgMqnQYWn4tCKgtHQZwew5bVmgBtHKaFButCrOfMPoN40e1FkLYY5HhYb4orqFjuzS2FwHrAL1B_6-vC2wkYkS-3k4pppO2UM1gx1EQP0-ahmb3WnMEsLRehl2_yKzSrFcDdKgS0fJ0NErdij0fqBXMTq7ie70idzTRTdGt7TMOHfBJI507vAMM25V2W6N_QS1GCkUiO9hd6libcpKunA1Mb4gxJnVnBu5gP7pNZx0ECJ7HKhFPmpGRE76KIbCehgGSYSXgSLYmHVSGPmQfMUggTJ7tTZpLsoGyUDDLiJhbM5cIukBT8qtRN7QId9RSaZvOfwHISiRIrlhugAoadGhUEhYrn-cE&refId=W6kRXiF%2BsEvWx5GizugnwA%3D%3D&trackingId=%2BYIfxYHRnnJnWOXrBkklLg%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Data Science ,"Hyderabad, Telangana, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3830966719/?eBP=CwEAAAGN_rXWlZoppH1hLNDAbkaGuXls0FQOCAp9A67Zk4J6u8BEQ-_nzUaCYiy_XSqlSJBJCR-XeS8x9wZ6X9LSKjG4E9Ki6OEUEkw9Gtq35zcUH5jCOsGbF7b66IXb4QR7N4sK3jjr6sttHCieyVytaqA2EHo22LVlbqU3ArDApe2KeEnbdhF9tkMZ54ABJwGbIn75vfC9BDyNH3iL6Ue6p1v27QfQ7EgucEP9vPid1JMjM4RaoJgBENMqo_i7EyOAEFlVQ4fEH1O3SePQF7F80y3SXMRARXwrMOdjYBibkh7s219TNt0zFSlzbgDKprAXjVI0-Kq56we4W6S1cDHYxqn6_rN5clpdfdTb2Y6ZkNx-9g4SQ_35Esq1m7OFOyX0vso_1s9hG-PPFy3DA7HjlI-7n0u9UZc&refId=W6kRXiF%2BsEvWx5GizugnwA%3D%3D&trackingId=LQo2Rq5oAb2oj5Z0ISElgA%3D%3D&trk=flagship3_search_srp_jobs
Creative Synergies Group,Data Science ,"Bengaluru, Karnataka, India (Hybrid)",Actively recruiting,https://www.linkedin.com/jobs/view/3812868808/?eBP=CwEAAAGN_rXWleLoGMFG5KLJ-mxWQk-7JSTBkPF6uMX0Bro3_aC021iXO9Up_knfzDbXCkD9xlObkVXc8ywdW-GG6nmXgYUKIFTdDYlqT6ebOQxCZIVCG_qrheG03qapyig7zFYcyHkaIkcERuOc51SiagJt6wSMDpFwjXRDi9EAzwPZHIKPLrG1WCQ2cfaxrHJAwM7Kz3J_2PAG0bs1cd-629uEWRY4v3UFKqrxwheGaumg23Q9hMOA6A3A1dbsr6FKBUsTEO6asus9fnNFYaTE77x1xPsVt6FyTEp7lNP8lJUkMhwEYXZLy_fLCh6OOUkh4DuWyb1bGqPBK2Mr9CcUqTP3hsJlV8pznlNy8O7Cg2K2wkj7igmc3zSpfMFVD3OHjq9xfoyLzhcQl_qus4mKqd40AyRVuMQ&refId=W6kRXiF%2BsEvWx5GizugnwA%3D%3D&trackingId=D5fj11kPZCUoijv3kg4npw%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Data Science ,"Chennai, Tamil Nadu, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3831588210/?eBP=CwEAAAGN_rXWlcLDLIA3X6TwRQaUU3vhP-CW1aO_MsdIwOU2NEmIivPjmr_Lo_iQ6VtQrM4GLGQTH7huzn1mWIRheniq-kbNucJTzkkp8AT8eUNhTN3LGBfKxHpmxcccmDELt3XwFJcDhx-viKCtoJ_bkVPJYWvo3-Uh43O5ZPrJb7FPC57tQA-E7EGhVvx288A2XAy9wz8BoeUul2yZrpPNqu3VTO5WIE479VjfDxJ1HdT2AYpxvW-KeQKhzt6kVwTkd01zC0NIdegn0r95-ixp7YeSpYZA9W9EKwO8YoY7Zo2hCRt5bGJB7bAcuOJVYGHzpps2piWz7cJDL4gTC_Y0GqUcb5eimnjiRa1b9nkTJmv1riUSpYcDq7qkokpjj1G2MVFZGUzgtKB_w29AThmflIW7lQ&refId=W6kRXiF%2BsEvWx5GizugnwA%3D%3D&trackingId=C%2FcAWZPR72XpWrGh%2BT4htg%3D%3D&trk=flagship3_search_srp_jobs
Quantzig,Data Science ,"Bengaluru, Karnataka, India (Hybrid)",Actively recruiting,https://www.linkedin.com/jobs/view/3821140223/?eBP=CwEAAAGN_rXWlajeo7uRFysAF3TGmfrPjhGcCfWYdcycmm9v8jYyrMgVCSQ2OX2Y9gUwuDx0VuVVqUkP7wQQ8sMtj9XkJvHVGpsKLPAl_cRko5EvsLw06DOmKHQ48eRy0wGznD0AW0-mjB20UU_h2OFMgs_gJivPKrDCn6-6bCA8LBWKOebND8hhL2Tk5twXGIObnuG_btvitFSeI8kncXX7uhpVCG8dqmmetU0BxyYx7cbzxD1dcqeJlHfvOaruoRlukeevTGbknWdXX-UeBR6XC0sMKIGQJMfP5R4V3v47ojcSKa5L_hWkTxsA4iJRYgdeFm8HDUqKm4yJ9HXbV6csuMWA7VWIW6kyR66D2JZAxLOeIvk6SBsde5Ml8sWN76_8KDXWh3Q8dir_kJHqHIFxAyCVBcMSgCs&refId=W6kRXiF%2BsEvWx5GizugnwA%3D%3D&trackingId=JTEKXBR7aDxPckQtu86%2Btw%3D%3D&trk=flagship3_search_srp_jobs
Skylark Labs,Data Science ,"Pune, Maharashtra, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3778000422/?eBP=CwEAAAGN_rXWlZm4NuI_GiQ5Ephd5bMRWDW-FemWRgitaO-63g3m_d15MBBTWHDsUjHS9Vz2O9-5qy9jLo6_-UygE8WQqfe1D32mVnJfkrMDIPazq8q-K4-kJzmxosQp4hL3JgL6BX_rBnm2E-QQBakYf9ZeHUPRMt3aME1ZukPar-Ll_9qAX_wgjAfUHBH2-UI3cQkssMvCyJmiglm3wz51wAW9lCzCo39s5Ko6MqXkI0IQfu4UzMag-HdtA08whQwfsIhdj86Rd2rwvNzyvrNt5K-fVEDne1vD7vTpyx-lsKRF6AJ0lPZfM1SvOjYZka_pTO_oLiI1_3utdmEQaG-twm8r7zwryDFQx8K9QnuBlkoLyysf5ZgYqp8DsWpbwOhFPeK5I9ekTdksZar3eTlx1d14aU23-14&refId=W6kRXiF%2BsEvWx5GizugnwA%3D%3D&trackingId=96thLVJ%2F%2F9QzRXDXe0K8Uw%3D%3D&trk=flagship3_search_srp_jobs
Marriott International,Human Resources ,"Kochi, Kerala, India",Actively recruiting,https://www.linkedin.com/jobs/view/3829191978/?eBP=CwEAAAGN_rYeB5UrJuTsZwQ2A7Xid7cT394UVq2WOvgWucPLlGV5L8r0UrKYe54F6C3ugGN4KdGQvUNnpSb69nfYmm482h0QVrl1gGKxpcq6CFoIniZGxtpHfONJ3bd0F_Q86CW4iILVfdrW5y7iL-QcCpFGceMEDWfXcPibVp0HIpHPa9YJKbd-Y04WrqBDzCnPqmRVAJILJT47FcmyG59XFNJ15_sJ4LHVD7a5sRf8MYK4-Fv5UUVAVAi45LNg6VJ2WAV8LcAPXaAPrZpxZSuZfk22pR0EnQEzrUs0PyGk4JLfIKrtOxa-8wdvkZKH5WXwgiKA85mQfzS09SXmWeOBcLhe_n87xHkN_eBP4rv6lfCa5CkKVBVkwYhYJp94Qwk2EerqtFJt1gwvdkggk8rPVVQFqu6W&refId=bss50WprW98BWZ8Eevqn1Q%3D%3D&trackingId=ULoZgIDXDFw4JCN1kbPJdA%3D%3D&trk=flagship3_search_srp_jobs
Bernhard Schulte Shipmanagement,Human Resources ,"Mumbai, Maharashtra, India (On-site)",,https://www.linkedin.com/jobs/view/3836185893/?eBP=CwEAAAGN_rYeB7GeDSXAZj99-7xxsNsKHXmQQ8TbGunuSG7qYAfMba__AF-Yg55Wka6XRJrIfx3-S-suAAICfLe2iuI8L9rnOmcVvQduJy1i2l9Hjly_jNbXSEgK1PSeAuIpL7h2g5sKWODkSGiR9KrPkGBpFiTD85mRy6CI-qSponC1x3TneT8X2bTZxP3ySs8rJTQMPEIjftSnpgGbYtLnoTB_y-GobfoZdMH4Mrb0EYxmnc7QiJ0OOyRHuI5AK5MAUEjI0t3EVwShAuh-3FuclMkG9A2S0903jknO_Ut2C2HpEPRytmauupAJQXyR1pD1grCebUoCHJaoc_u3qX-bewzoHzKekmn22VAnY8K3GKDkzosvB0_f-UhlqbsqHZYNkwIl7Yonm51amiyEyiiSF1hIodsVfksFWaUb7bfoIYGDVHwb9GIQ0VIFHbY&refId=bss50WprW98BWZ8Eevqn1Q%3D%3D&trackingId=y%2FwvwsOswvuh9J64IUn0Dw%3D%3D&trk=flagship3_search_srp_jobs
Sanver India Private Limited,Human Resources ,"Mumbai, Maharashtra, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3836868149/?eBP=CwEAAAGN_rYeB0CNiTSfEytFy5XwCFZRuPWKT1ENE8v-wQlYP3XD2_ke96xABF2eBd7xrstcDPCXmGEJlsapWtU78WOmr60ZpiD8Z7jyqqx0Wq4kGjDcYm3NGXIXPXGdN6obf2RZXtkgldgcPNNfDXhzNTSVhsIAVA_9x8EoWvAU91PXj8ll0v3WUTvjQqCso5fqKETGpw5vmJnldsb-iW63Rj5bUyVVmRqHrd0EAqotAsV3pQZtMC-uBZjegxCl_pDyUjbubnHnyaep5ZX_NIfZ-LuHjQxx70DLkHhVeEW_DORcdI3DKDtC4u3pWAKe74QgEPR374F1JzbyplRKXg23T8if4GeK0v5rY4L_ha9MITbzhWUS7d-9W2hy9OztnPgrrLzDHg42WL4DWo7aX5jnRKnodWbHLm0CIb48z817L2wY-z__O9EW9UOivg&refId=bss50WprW98BWZ8Eevqn1Q%3D%3D&trackingId=pg09KzUpQje5jlItybt5yg%3D%3D&trk=flagship3_search_srp_jobs
Hiringhood,Human Resources ,"Hyderabad, Telangana, India (On-site)",,https://www.linkedin.com/jobs/view/3835514963/?eBP=CwEAAAGN_rYeB-Jnhm_tTGXJWBYoLaENAIrrrmL-J6TsJVWvHUucur4axDNJ8VxG8RjB6WNAdQAyWoRA5R0oOGjK16W1CcKxLcPVPtzaZ7LeW5YetZUvJ0WDDmKJLqsmXQ6uoubQk6GlZKS3XAvxD84GwkSirlU9-OwVjH6W29UVUyZJr5WXfFXmDeHSjecg2UifF4xf7CkpgoEmRqFA92yMR-Xn8pVCo2lKVHuWhNTPefQP7EsFwhl59i1sMDf3pseJdoyMqeekoUVLPRRXzEkcKiF9vp8kWYcbdkTqXuIKSIA2AhwWx1STcMzKcr8FGr1kpJPKrbn5BnbhZ-E8icImkAfR56iuv-RMeKi2MOgHiJcxU7Qv-LpeJ_Jc_r7O88uiVw-wF3oMZW9fX635DPww6TdD5v9d9PVHRpmEWF7VXRSPiBShLrjUnemVqw&refId=bss50WprW98BWZ8Eevqn1Q%3D%3D&trackingId=9tXbJixIxjBXM%2BoTNSvn9A%3D%3D&trk=flagship3_search_srp_jobs
Mevive International Food Ingredients,Human Resources ,"Coimbatore, Tamil Nadu, India (On-site)",,https://www.linkedin.com/jobs/view/3829099945/?eBP=CwEAAAGN_rYeB4MUsMs-m6mDRUVD9rBNKgkbDFmjabvlQV4viQzajJITVxUQS8s9UlBVNho24BtyLVRe0UJDVJ4YHp7hH9Ul2n9xdAOOasFlgNvZLOlmMhx2KKQScQs1jyqGrBO5JddD_b9a0fav-YwA1da6q8A2cvZS9CbLbKyHEo20GU16wWC-YCIkMKVJYH2ngs4d-zH5JOkRZD-CO2LYoLp6BPtg5NGcqKX3-XX71Wh7bNE8wE0HikWgi2p3uwNlYiLh2KuG_8Cmb3j2BoqsjkeH1BUPa0tm1qLqVE5YpqrH7fXTFTm1vAtqZytlqh2u_YI0NXLqthEXdJXRl4yVffi5AuCuYcBc4JWBfYR1tXynvBsg9fmRoPWlAy5RIuemTbU_PjAyZLYfH2ca5A2aZoswu82R0bf7WJlPVwToU5KYKtpORhMQtrQqjDw&refId=bss50WprW98BWZ8Eevqn1Q%3D%3D&trackingId=TME2k9mopy2Y%2Bejzb2ge9g%3D%3D&trk=flagship3_search_srp_jobs
Goldman Sachs,Human Resources ,"Bengaluru, Karnataka, India",2 school alumni work here,https://www.linkedin.com/jobs/view/3822265992/?eBP=CwEAAAGN_rYeB2M4NtRQPn8gldctipyQg9ZfBZme5UCz5OhqNl8qQNRt_MCNSXYKXc1UCypjRkLp5fSrY9IikiJv0X-l7RlAWJzsvdhxX4UBNYXnDo82doiK8W1WXIuCPRgEkwTpfL3f6rb_XCvu4nGFpMelwYnTn_bS09INvDU9LJJCv2DK_mkMhKSUGKHN-7QvByE4SZeQkzjPRFXT_Hfpvy-oEogf8RY0OTAfsKSavgbts948eJehVXPZoUf_rpTLQCVMcilx3BxL_aBKI1bjE0Ja7HRkpsrZFzaqX-29-kEuyi6VNnjc-LSxWd4z9LSa6JEMaFAfwL3JOWZbkeTI1zlt4G48WlxG5ZSjOrZKGkHL7CgCc27OYQtFlb49AllfHHUeCPlnSKiwqrBWHQ8LMBVyDJPbPS4&refId=bss50WprW98BWZ8Eevqn1Q%3D%3D&trackingId=m7Mt5OUgWW%2FAJcDzNcakoA%3D%3D&trk=flagship3_search_srp_jobs
